Untitled report
"June 1, 2025 - June 30, 2026"
Month,Campaign,Impr.,Clicks,Currency code,Cost,Conversions,Conv. value,Search top IS,Search abs. top IS,Search exact match IS,Search lost IS (rank),Search lost IS (budget),Search lost top IS (rank),Search lost top IS (budget),Search lost abs. top IS (rank)
June 2025,google_eco_per_ven_brd_all_sor_4p_brand-desk,"1,571,941","796,145",BRL,517143.44,"54,810.88","63,443,023.05",77.90%,70.44%,82.54%,2.55%,15.13%,4.42%,17.69%,11.87%
June 2025,google_eco_per_ven_brd_all_sor_4p_brand-mobile,"3,697,286","1,747,779",BRL,408926.36,"49,547.86","44,327,174.82",76.86%,46.73%,81.50%,4.90%,13.94%,7.26%,15.88%,37.39%
June 2025,google_eco_per_ven_brd_all_sor_4p_brand-ampla,"1,642,829","235,465",BRL,214701.02,"7,428.50","7,428,201.94",16.07%,< 10%,76.89%,52.28%,21.36%,62.42%,21.50%,68.55%
July 2025,google_eco_per_ven_brd_all_sor_4p_brand-desk,"1,789,674","843,284",BRL,617498.07,"56,205.34","62,794,352.83",77.55%,68.40%,83.60%,4.09%,12.79%,6.52%,15.93%,15.67%
July 2025,google_eco_per_ven_brd_all_sor_4p_brand-mobile,"4,038,261","1,742,389",BRL,474275.11,"51,959.84","44,456,607.35",75.17%,45.45%,81.01%,7.15%,12.54%,10.34%,14.49%,40.06%
July 2025,google_eco_per_ven_brd_all_sor_4p_brand-ampla,"1,315,274","177,727",BRL,130976.00,"5,479.72","5,710,617.03",12.08%,< 10%,66.21%,49.02%,29.41%,58.00%,29.91%,63.37%
August 2025,google_eco_per_ven_brd_all_sor_4p_brand-desk,"1,681,803","785,973",BRL,630926.56,"54,811.14","61,342,088.60",74.72%,67.49%,83.50%,3.55%,13.71%,7.24%,18.03%,14.48%
August 2025,google_eco_per_ven_brd_all_sor_4p_brand-mobile,"3,944,319","1,679,233",BRL,524128.72,"49,858.88","44,382,094.17",72.12%,48.17%,83.70%,6.17%,11.86%,11.96%,15.91%,35.91%
August 2025,google_eco_per_ven_brd_all_sor_4p_brand-ampla,"878,556","107,734",BRL,62129.64,"3,625.18","3,619,726.48",< 10%,< 10%,74.63%,56.31%,26.80%,64.71%,26.84%,69.19%
September 2025,google_eco_per_ven_brd_all_sor_4p_brand-desk,"1,939,488","881,191",BRL,683889.70,"55,411.53","64,232,858.69",81.37%,76.65%,87.60%,3.95%,9.51%,6.60%,12.03%,11.32%
September 2025,google_eco_per_ven_brd_all_sor_4p_brand-mobile,"4,220,757","1,845,755",BRL,682259.37,"52,675.72","49,406,464.97",79.04%,58.79%,87.52%,5.60%,9.67%,8.85%,12.12%,29.09%
September 2025,google_eco_per_ven_brd_all_sor_4p_brand-ampla,"613,749","65,026",BRL,34612.73,"2,091.89","2,267,002.31",< 10%,< 10%,78.29%,60.42%,26.66%,66.66%,26.67%,70.79%
October 2025,google_eco_per_ven_brd_all_sor_4p_brand-desk,"1,786,195","880,790",BRL,646962.22,"55,346.96","63,381,267.81",78.65%,71.30%,84.56%,3.01%,13.51%,5.13%,16.23%,12.47%
