Untitled report
"June 1, 2025 - June 30, 2026"
Month,Campaign,Impr.,Clicks,Currency code,Cost,Conv. value,Conversions
June 2025,google_eco_per_ven_brd_all_sor_4p_brand-desk,"1,571,941","796,145",BRL,517143.44,"63,443,023.05","54,810.88"
June 2025,google_eco_per_ven_brd_all_sor_4p_brand-mobile,"3,697,286","1,747,779",BRL,408926.36,"44,327,174.82","49,547.86"
June 2025,google_eco_per_ven_brd_all_sor_4p_brand-ampla,"1,642,829","235,465",BRL,214701.02,"7,428,201.94","7,428.50"
July 2025,google_eco_per_ven_brd_all_sor_4p_brand-desk,"1,789,674","843,284",BRL,617498.07,"62,794,352.83","56,205.34"
July 2025,google_eco_per_ven_brd_all_sor_4p_brand-mobile,"4,038,261","1,742,389",BRL,474275.11,"44,456,607.35","51,959.84"
July 2025,google_eco_per_ven_brd_all_sor_4p_brand-ampla,"1,315,274","177,727",BRL,130976.00,"5,710,617.03","5,479.72"
August 2025,google_eco_per_ven_brd_all_sor_4p_brand-desk,"1,681,803","785,973",BRL,630926.56,"61,342,088.60","54,811.14"
August 2025,google_eco_per_ven_brd_all_sor_4p_brand-mobile,"3,944,319","1,679,233",BRL,524128.72,"44,382,094.17","49,858.88"
August 2025,google_eco_per_ven_brd_all_sor_4p_brand-ampla,"878,556","107,734",BRL,62129.64,"3,619,726.48","3,625.18"
September 2025,google_eco_per_ven_brd_all_sor_4p_brand-desk,"1,939,488","881,191",BRL,683889.70,"64,232,858.69","55,411.53"
September 2025,google_eco_per_ven_brd_all_sor_4p_brand-mobile,"4,220,757","1,845,755",BRL,682259.37,"49,406,464.97","52,675.72"
September 2025,google_eco_per_ven_brd_all_sor_4p_brand-ampla,"613,749","65,026",BRL,34612.73,"2,267,002.31","2,091.89"
October 2025,google_eco_per_ven_brd_all_sor_4p_brand-desk,"1,786,195","880,790",BRL,646962.22,"63,381,267.81","55,346.96"
October 2025,google_eco_per_ven_brd_all_sor_4p_brand-mobile,"4,034,432","1,898,469",BRL,532399.12,"47,688,250.72","52,467.76"
October 2025,google_eco_per_ven_brd_all_sor_4p_brand-ampla,"415,814","50,353",BRL,18668.08,"1,673,005.33","1,590.28"
November 2025,google_eco_per_ven_brd_all_sor_4p_brand-desk,"2,779,617","1,351,886",BRL,1366521.72,"96,078,746.83","80,802.22"
November 2025,google_eco_per_ven_brd_all_sor_4p_brand-mobile,"6,785,018","3,203,612",BRL,1357786.18,"83,615,687.14","88,977.29"
November 2025,google_eco_per_ven_brd_all_sor_4p_brand-ampla,"503,179","60,355",BRL,33947.29,"1,679,337.53","1,716.72"
December 2025,google_eco_per_ven_brd_all_sor_4p_brand-desk,"1,490,108","848,776",BRL,361438.52,"59,609,129.60","52,136.39"
December 2025,google_eco_per_ven_brd_all_sor_4p_brand-mobile,"3,917,871","2,180,350",BRL,299120.01,"57,267,774.24","63,958.20"
December 2025,google_eco_per_ven_brd_all_sor_4p_brand-ampla,"195,975","29,169",BRL,5855.39,"984,359.58","1,041.19"
January 2026,google_eco_per_ven_brd_all_sor_4p_brand-desk,"1,888,247","1,016,525",BRL,455598.10,"72,199,163.30","60,735.82"
January 2026,google_eco_per_ven_brd_all_sor_4p_brand-mobile,"5,184,502","2,597,213",BRL,400669.54,"62,240,710.15","68,722.78"
January 2026,google_eco_per_ven_brd_all_sor_4p_brand-ampla,"200,329","17,291",BRL,5108.56,"570,996.64",577.78
February 2026,google_eco_per_ven_brd_all_sor_4p_brand-desk,"1,013,870","556,560",BRL,482953.32,"48,941,455.83","37,087.71"
February 2026,google_eco_per_ven_brd_all_sor_4p_brand-mobile,"3,640,366","1,789,581",BRL,534024.56,"45,529,993.51","46,395.83"
February 2026,google_eco_per_ven_brd_all_sor_4p_brand-ampla,"118,862","7,623",BRL,3612.88,"324,902.06",301.63
March 2026,google_eco_per_ven_brd_all_sor_4p_brand-desk,"1,044,156","498,268",BRL,770242.71,"49,464,588.81","36,816.22"
March 2026,google_eco_per_ven_brd_all_sor_4p_brand-mobile,"5,084,697","2,144,376",BRL,641659.87,"58,004,823.33","56,405.24"
March 2026,google_eco_per_ven_brd_all_sor_4p_brand-ampla,"128,875","9,008",BRL,5149.48,"528,173.62",399.42
April 2026,google_eco_per_ven_brd_all_sor_4p_brand-desk,"222,737","67,540",BRL,325043.18,"8,170,721.21","5,807.95"
April 2026,google_eco_per_ven_brd_all_sor_4p_brand-mobile,"4,946,041","2,177,611",BRL,963143.29,"61,612,814.55","60,586.64"
April 2026,google_eco_per_ven_brd_all_sor_4p_brand-ampla,"201,112","15,037",BRL,12794.42,"951,976.15",783.50
May 2026,google_eco_per_ven_brd_all_sor_4p_brand-desk,"145,135","36,658",BRL,286941.27,"5,709,292.17","4,428.72"
May 2026,google_eco_per_ven_brd_all_sor_4p_brand-mobile,"5,270,514","2,667,601",BRL,920231.86,"71,060,092.64","74,582.45"
May 2026,google_eco_per_ven_brd_all_sor_4p_brand-ampla,"239,070","21,267",BRL,15128.21,"1,203,553.56",990.99
June 2026,google_eco_per_ven_brd_all_sor_4p_brand-desk,"179,296","44,696",BRL,199904.09,"6,309,916.09","4,607.05"
June 2026,google_eco_per_ven_brd_all_sor_4p_brand-mobile,"3,966,043","2,105,678",BRL,947119.75,"58,830,088.35","62,920.46"
June 2026,google_eco_per_ven_brd_all_sor_4p_brand-ampla,"177,985","15,600",BRL,13394.90,"670,169.17",629.99
